export,problem1,problem2,sectors,growth_level,rdpercentage,workersincrease,workers,school,major,years,experience,debtratio,turnover,gaintorevenue,gainincrease,capital,IES,profit,investment,patent,patent_global,technique,development,marketing,brands,howmarket,goods
9.6,5,3,IT,highgrow,0.865384615,1.155555556,104,3,engineer,0,0,0.579350593,6.041198029,0.002510203,1.21845041,1196.732,0.004758845,117.823,227,2,0,3,3,3,0,direct,3
5,4,2,IT,highgrow,0.461538462,1.03539823,117,3,naturalschience,18,1,0.799226047,7.881899527,0.022073954,1.086394378,11625,0.002878974,1511.361,282,13,0,3,3,3,1,both,2
0,3,6,IT,highgrow,0.043478261,1,253,3,other,4,0,0.896538406,18.31585064,0.023046563,1.189335357,10912.829,0.005733645,1246.048,397,0,0,2,4,3,0,both,2
5,2,3,IT,highgrow,0,0.912751678,136,3,business,0,0,0.745440127,1.882306798,0.002115564,1.276521547,20083.42,0.001384302,138.931,478,4,0,4,3,3,0,both,3
15,4,5,IT,highgrow,0,1.018404908,166,4,business,10,0,0.803386647,10.29904422,0.029215218,1.079299432,4612.378,0.005255427,950.338,521,4,0,3,3,3,1,both,3
0,6,3,IT,highgrow,0.796116505,1,103,3,business,2,1,0.542526548,2.837890254,0.028115663,1.128034581,8283.518,0.008034171,394.754,516,4,0,2,3,3,0,indirect,2
20,6,5,IT,highgrow,0,1.017699115,115,3,business,7,0,0.630351078,0.50447072,-0.467114207,0.541026345,24379.292,0.038315297,-9824.466,421,0,0,3,3,4,0,direct,3
0,4,5,IT,highgrow,0,0.93968254,296,3,other,0,0,0.714547741,8.667528501,0.025579161,0.92356398,12689.211,0.012449945,1122.152,914,4,0,3,4,3,0,direct,3
0,5,7,IT,highgrow,0.496062992,1,127,5,engineer,6,0,0.742910032,12.18439175,0.005124546,1.011968028,2319.35,0.001459915,68.843,4312,2,0,3,4,4,2,both,3
9,3,2,IT,highgrow,0,1,160,3,humanities,0,0,0.566821793,2.932499342,0.046219333,1.083108544,23596.97,0.006524038,1899.289,2471,0,0,3,3,4,1,both,3
0,8,2,IT,highgrow,0.408045977,0.910994764,174,3,engineer,27,1,0.565260797,2.089371499,-0.014834015,0.987195177,13566.372,0.010870556,-625.083,5409,4,0,3,3,3,0,direct,2
0,1,7,IT,highgrow,0.411290323,1,124,3,business,7,0,0.515177812,0.913333942,0.105270563,1.004514124,15438.893,0.032733027,917.615,2970,4,0,2,4,3,0,indirect,2
0,6,3,IT,highgrow,0.638095238,1.019417476,105,3,naturalschience,5,0,0.51621817,1.03712491,0.230381892,1.453173782,55117.978,0.001854307,11995.393,954,0,0,3,3,3,0,direct,1
0,3,5,IT,highgrow,0,1.006711409,150,3,business,10,0,0.112714465,0.726817432,0.267322065,1.080927939,28852.035,0.007967897,5046.814,644,0,0,3,3,3,0,direct,1
0,6,4,IT,highgrow,0.642276423,1.033613445,123,4,business,2,0,0.867186264,10.93466314,0.034030338,0.933054499,1655.528,0.032273689,1252.969,1479,4,0,3,3,3,5,both,3
10,2,4,IT,highgrow,0,1.00729927,138,4,business,10,0,0.738162344,8.384338618,0.019444699,1.167900978,14444.013,0.005070506,1752.926,529,2,0,4,4,3,1,both,3
5,2,4,IT,matured,0.796116505,1,103,3,engineer,13,0,0.756469217,7.529953947,0.000801705,1.125818305,4379.473,0.003383911,148.584,1037,3,0,3,4,3,0,both,3
0,3,2,IT,matured,0,1.006472492,311,3,engineer,11,0,0.495538629,0.991803279,0.123966942,0.0999814,2318,0.000434972,317,8820,1,0,4,4,4,0,both,2
5,3,2,IT,matured,0.047826087,1.022222222,230,4,other,3,0,0.457158735,0.909734834,-0.620956726,0.440558719,14425.454,0.030288102,-7664.456,404,0,0,3,3,3,0,both,1
0,4,1,IT,matured,0,1.006493506,155,3,engineer,8,0,0.097313735,0.001403706,1,0.000658327,3562,0,4,3750,0,0,3,4,3,0,both,2
0,2,3,IT,matured,0,1.007633588,264,4,business,0,0,0.099078697,0.590302933,0.40912284,1.248924371,89707.291,6.32E-05,17341.485,4060,0,0,3,4,3,0,both,3
0,3,6,IT,matured,0.81,1.333333333,200,3,engineer,3,1,0.704181801,6.353542432,0.017663462,1.407196812,2675.478,0.000176483,434.713,652,0,0,3,3,3,0,both,3
0,2,7,IT,matured,0.288,1,125,3,engineer,8,0,0.424680528,1.490238771,-0.023572918,1.41400735,8737.783,0.000921254,-532.686,1425,4,0,3,3,4,0,both,3
11,3,5,IT,matured,0.343324251,0.999092559,1101,3,naturalschience,5,0,0.219986805,1.268482425,0.100061601,1.166348087,106080.318,0.003789671,-29727.908,14725,0,0,3,4,3,0,other,3
5,9,4,IT,matured,0,1.447530864,469,3,engineer,5,0,0.452357611,1.924326241,0.028904912,1.045527876,18097.449,0.003569809,131.176,2063,4,0,4,3,3,0,both,3
0,2,1,IT,matured,0.094936709,1,158,3,engineer,10,0,0.39410988,0.959012713,0.04189848,1.174578,46246.681,0.021445327,-72.363,122,4,0,3,4,4,0,indirect,1
0,7,1,IT,matured,0.597883598,1.038461538,189,3,business,5,0,0.297182666,1.178949526,0.01570303,1.539225949,39444.005,4.30E-05,2065.243,4669,4,0,2,3,3,0,other,2
10,5,6,IT,highgrow,0,1.060606061,210,3,other,10,0,0.931417771,9.935826309,-2.786907046,0.439268142,676.835,0.043342704,-18919.292,1905,0,0,3,3,4,0,direct,1
2,2,6,IT,matured,0.5,1,102,3,engineer,10,0,0.57497543,7.688299047,0.00186307,0.981240163,6248.534,0.000335633,118.392,7273,0,0,3,4,3,0,both,2
0,4,6,IT,matured,0.964285714,1,140,3,engineer,9,0,0.602681757,6.619288782,0.017576374,0.928377524,4081.222,0.005381682,371.26,1425,2,0,4,4,3,0,both,2
0,2,4,Other,growing,0.445783133,1.050632911,83,3,engineer,4,0,0.38129589,5.999404469,0.029084168,1.11081427,2085.534,0.001990495,357.485,254,4,0,2,3,3,1,direct,3
0,5,2,Other,highgrow,0,1.029411765,70,3,business,5,0,0.688058471,2.92216108,0.09716491,1.300579557,8970.885,0.030776821,1040.999,9,0,0,2,3,4,0,both,3
0,7,1,Other,highgrow,0.644444444,1.071428571,90,5,business,20,0,0.174901186,3.00239521,0.109094535,0.99988334,1670,0.010570403,394,5000,6,0,3,3,3,0,direct,2
0,3,2,Other,matured,0.033898305,1.053571429,59,3,engineer,0,0,0.305444199,8.286323025,0.00653095,1.08279539,5473.14,0.003196184,467.613,216,3,0,2,3,4,0,both,3
0,4,3,Other,matured,0,1.150943396,61,3,engineer,0,0,0.593295369,7.238228614,0.057266903,0.748778524,9496.63,0.014734914,1438.874,213,0,0,3,3,3,0,both,2
0,1,6,Other,matured,0,0.887640449,79,5,engineer,16,0,0.097504871,1.135785927,0.023018416,0.695482783,31474.764,0,974.211,1066,84,1,3,4,4,4,direct,3
0,3,2,Other,matured,0,0.955223881,64,5,engineer,3,0,0.442008485,4.654809068,0.029784984,1.198017509,6369.924,0.00433567,789.847,1598,7,0,3,4,3,0,both,3
6.94,3,2,Other,matured,0.070175439,0.633333333,57,4,engineer,20,0,0.696194546,2.847267016,-0.145892204,0.344473954,6213.098,0.019359765,-3359.198,711,14,0,2,3,3,0,direct,3
0,4,2,Other,matured,0.333333333,1,81,3,engineer,15,0,0.444264552,6.979470614,0.023007068,0.892054262,11809.949,0.000431168,1514.269,309,0,0,4,4,4,2,both,2
26.1,5,7,Other,matured,0.064516129,0.925373134,62,5,engineer,10,1,0.479301683,3.516467821,0.037361215,0.872091637,8786.53,0.007789906,85.828,480,1,0,3,3,3,1,direct,3
5,5,2,Other,matured,0,0.895522388,60,3,engineer,4,0,0.462834451,4.334686709,0.022112979,0.80427738,12274.243,0.004880312,931.54,957,0,0,3,3,3,0,both,3
0,5,2,Other,ebb,0.048192771,1.121621622,83,3,engineer,5,1,0.747292861,17.94232874,0.031549541,0.867491401,3742.245,0.002783024,1658.744,457,0,0,3,3,4,3,direct,3
0.5,3,2,Other,growing,0.038961039,1.790697674,77,3,engineer,0,0,0.123111127,0.373926414,-0.6026779,1.413779623,22843.647,0.01489339,-5226.106,1248,0,0,3,3,4,1,other,3
0,6,5,Other,highgrow,0.345454545,1,55,4,naturalschience,3,0,0.705353546,3.182546603,0.084903248,1.137022887,9266.872,0.019863895,1372.246,1482,0,0,3,4,3,0,both,3
0,2,5,Other,matured,0.362068966,1,58,3,engineer,0,0,0.516619078,2.290807332,0.041745595,0.719231696,11887.104,0.00076365,1063.787,286,1,0,3,4,3,0,both,3
0,1,2,Other,matured,0.25,1,72,5,engineer,2,0,0.207422255,1.904973388,0.043618477,1.054626279,9378.215,0.000385385,989.178,201,2,0,3,3,3,0,both,2
0,3,5,Other,matured,0.026315789,0.817204301,76,3,engineer,15,0,0.437620801,2.671006009,0.041389219,1.286074234,1841.216,0.006259584,194.48,450,5,0,4,5,5,2,direct,2
0,7,5,Other,matured,0,1.086956522,75,1,,15.5,0,0.328483673,2.547905633,0.047430083,0.993802817,2077,0.005291005,203,100,2,0,3,3,3,0,other,1
0,3,8,Other,matured,0.078431373,1.378378378,51,3,engineer,10,0,0.215378267,2.327323157,0.02494313,0.932565356,4852.825,0.001388248,471.969,612,0,0,5,5,4,1,both,2
0,2,3,Other,matured,0.214285714,1.065217391,98,3,engineer,2,0,0.244566911,1.405967489,0.111616402,0.618056699,34165.093,4.49E-05,4657.111,1978,5,0,2,3,4,0,both,3
0,3,4,Other,matured,0.098360656,1.109090909,61,5,engineer,12,0,0.230006713,2.630854551,0.081233397,1.100403737,2617.643,0.001548942,564.751,218,4,0,3,3,3,0,both,2
20.6,3,4,Other,matured,0.102941176,0.971428571,68,1,,20,0,0.702217231,2.782755101,0.025074053,1.059618063,10957.629,0.047850943,113.753,149,0,0,3,3,4,1,both,3
0,3,2,Other,founded,0.340163934,1,244,3,engineer,0,0,0.256965647,1.334834563,0.201794635,1,8712.855,0,1958.854,156,0,0,3,4,3,0,both,3
0,2,5,Other,growing,0.724675325,1,385,3,business,8,0,0.643097554,1.610197775,-0.17946955,2.786027834,32007.021,0.095121169,-53124.686,2654,4,0,2,4,3,0,indirect,1
30,4,2,Other,growing,0.502564103,1,195,5,engineer,7,0,0.198270108,0.571210786,0.03188935,1.250923683,34051.913,0.000879346,844.201,1330,1,0,3,3,3,0,indirect,3
0,2,5,Other,growing,0.088652482,1,282,3,other,6,0,0.483143091,5.163465421,-0.21434787,3.373453934,30427.481,0.00207987,-34952.463,2632,0,0,3,3,3,3,other,3
1,3,1,Other,growing,0.604562738,1,263,3,naturalschience,1,0,0.429176762,0.545862053,-0.343471147,1.742824533,44207.517,0.036689878,-12933.898,650,0,0,4,3,3,0,both,2
0,4,7,Other,growing,0.648148148,1,108,3,business,2,0,0.904293003,17.52586411,0.016202796,0.981682885,2098.004,0.027807358,-549.413,1869,0,0,3,4,3,1,other,3
0,1,3,Other,growing,0.079470199,1,151,3,naturalschience,2,0,0.836445505,4.632144233,-0.190871117,0.924797745,4002.634,0.03330432,-3585.467,790,0,0,3,3,3,0,direct,2
0,2,5,Other,growing,0.175438596,1,285,3,engineer,0,0,0.324727989,1.487549865,-0.007291845,1.069361473,15823.202,0.007793506,-251.833,201,0,0,3,4,3,0,both,3
0,2,4,Other,growing,0.606060606,0.970588235,132,1,,6,0,0.197025407,1.392602228,0.17650001,0.933874176,14942.661,0.000128117,3207,235,0,0,2,4,3,0,both,2
5,2,5,Other,growing,0.163522013,1.019230769,159,5,engineer,2,0,0.652901103,8.76138291,0.04147217,1.174032804,2309.998,0.004672861,806.414,2461,0,0,3,3,4,9,both,3
0,5,3,Other,growing,0.12962963,1.018867925,162,3,business,3,0,0.747845583,3.409082662,0.094965072,1.961382191,18542.052,0.033766321,2584.087,591,0,0,2,4,3,0,indirect,2
0,4,1,Other,growing,0.075697211,1.004,251,1,,3,0,0.413644112,2.615702807,0.038828293,1.107357341,30234.098,0.002106333,2289.021,355,0,0,2,4,3,0,indirect,2
0,2,4,Other,growing,0.02734375,1.044897959,256,3,other,2,0,0.425200567,1.261704933,-0.003108189,0.726317185,8473.799,0.005093704,119.642,481,5,0,2,4,4,0,both,3
10.21,3,2,Other,highgrow,0.05,1.176470588,100,5,other,3,0,0.758326284,0.642014673,-2.010492762,1.211695081,5583.754,0.162768226,-8865.516,8286,70,1,4,3,4,7,both,3
0,2,5,Other,highgrow,0.206896552,1,203,3,engineer,15,0,0.702479471,17.18715898,0.028427664,1.171493637,2706.934,0.002805167,1026.47,268,1,0,3,4,3,0,both,1
0,2,7,Other,highgrow,0.053571429,1,112,3,business,3,1,0.526961704,1.120766682,-0.132861516,0.821167429,21198.057,0.00158081,-3975.928,2960,0,0,3,4,4,0,both,2
0,5,1,Other,highgrow,0.161676647,1,167,3,business,3,0,0.33926823,1.883691215,-0.191670831,2.429819352,38831.22,6.84E-05,-16439.708,3963,4,0,2,4,3,0,indirect,3
0,3,7,Other,highgrow,0,1.067073171,175,3,engineer,25,0,0.715560723,13.43907792,0.001955373,1.366253775,404.172,0.00168474,62.73,0,1,0,3,2,2,0,other,1
5,6,8,Other,highgrow,0,1,136,3,engineer,7,0,0.290925464,2.807277917,0.050429521,1.127345084,4335.554,0.002116899,1103.923,634,0,0,3,4,3,0,both,2
0,8,3,Other,highgrow,0,1.328125,255,2,humanities,14,1,0.823835426,14.52111123,-0.067708374,1.521648182,302.872,0.005631602,90.793,96,0,0,3,3,3,0,other,1
1,5,2,Other,highgrow,0,1.025252525,203,5,engineer,12,0,0.511959356,3.802351926,-0.033948431,1.08967767,25804.213,0.003418857,-3997.958,1017,4,0,3,3,4,0,other,3
0,2,7,Other,highgrow,0.023026316,1,608,3,business,3,0,0.459624981,3.636039267,0.070653256,0.992186021,35632.245,0.005851602,4181.823,382,0,0,3,3,3,0,direct,2
0,3,2,Other,highgrow,0.081180812,1.018796992,271,3,business,10,0,0.648033737,5.258632034,0.072552079,1.370018767,6147.479,0.007451157,1957.079,903,0,0,3,4,4,0,direct,1
0,1,2,Other,highgrow,0.05090312,1,609,3,engineer,20,2,0.631897546,13.49477631,0.010288695,1.611582416,982.256,0.000822236,159.853,168,0,0,3,5,5,2,5,2
0,7,1,Other,highgrow,0,1,106,3,business,2,0,0.7561372,3.435836003,0.115343377,1.106348709,3785.651,0.01346657,988.442,200,0,0,3,4,3,0,both,2
5,2,6,Other,highgrow,0.096774194,1,124,2,business,4,0,0.298446182,0.857553163,0.007343487,1.451950771,16941.036,0.014977038,94.601,4814,4,0,4,4,4,0,both,3
1.4,2,3,Other,highgrow,0.755980861,1.055555556,209,4,engineer,13,0,0.429666646,1.791709612,0.081319946,0.991637907,11348.829,0.004862887,1547.238,378,20,0,4,5,5,0,direct,2
15,8,1,Other,highgrow,0.180232558,1,172,3,engineer,8,0,0.702507219,10.05121409,0.018764202,1.353129187,4460.862,0.007105748,575.981,1240,5,0,4,4,3,0,both,3
0,6,8,Other,highgrow,0.056768559,1,229,3,business,3,0,0.669677317,3.019935479,0.079770165,1.233619514,7777.29,0.009582442,1721.228,340,1,0,3,4,3,0,direct,2
0,2,1,Other,highgrow,0.0625,1.011494253,176,3,humanities,4,0,0.630020006,6.230689314,0.112152947,2.151961323,8941.086,0.0012699,5401.817,1200,0,0,3,4,5,1,direct,3
5,3,7,Other,highgrow,0.147239264,1.01875,163,3,business,4,0,0.655880851,2.863888867,0.069066028,1.220315392,5859.697,0.004834663,961.064,870,1,0,3,4,4,0,direct,1
1,8,3,Other,highgrow,0,0.98,196,3,engineer,11,0,1.200269416,-7.441103871,-0.012618541,1.052451049,-1822.242,0.018396633,-358.999,66,4,0,3,3,2,0,both,3
0,7,1,Other,highgrow,0.043032787,0.987854251,488,3,humanities,1,0,0.48748667,3.787977652,0.018278292,1.024721239,11146.042,5.54E-05,-533.74,1426,4,0,3,4,3,0,direct,2
0,8,6,Other,highgrow,0.067226891,1.008474576,119,3,engineer,8,0,0.491404882,2.824293943,0.020946668,1.056319465,5994.062,0.008006619,105.401,305,0,0,3,3,3,0,both,1
0,7,1,Other,highgrow,0.049363057,1,628,3,business,20,0,0.394537637,4.077515238,0.007571772,1.876714601,6579.416,0.004689636,130.836,1830,0,0,3,3,3,0,indirect,2
0,2,1,Other,highgrow,0.150735294,1.128630705,272,3,naturalschience,6,0,0.670689022,3.809153963,0.089679036,1.224226253,11538.128,0.012709319,335.132,1275,4,0,2,4,3,0,both,3
0,1,6,Other,highgrow,0.835249042,0.932142857,261,3,engineer,3,0,0.270272574,0.801324433,0.287276029,1.383123608,81449.935,0.007051193,16231.655,5460,0,0,3,3,4,0,direct,1
0,5,4,Other,highgrow,0,1,1051,4,business,6,1,0.677024603,8.678021169,0.03407767,0.963575786,4578.683,0.004694529,1169.703,18,0,0,3,3,4,0,both,1
20,2,6,Other,highgrow,0.140350877,1.128712871,114,3,engineer,7,0,0.405000022,3.418529796,0.037792138,1.188550011,8545.21,0.006179743,940.13,825,4,0,4,3,3,0,both,3
0,4,1,Other,highgrow,0.601941748,1,103,3,engineer,3,0,0.235386414,0.810887377,0.251910754,1.485685174,18021.42,0.00708079,2919.884,2306,4,0,4,4,4,1,both,2
9,2,4,Other,highgrow,0.756410256,1.026315789,156,5,naturalschience,4,0,0.14488283,0.040191131,-2.956405348,0.452707151,320507.454,0.207123642,-34066.76,37397,2,0,4,4,3,1,direct,3
0,3,6,Other,matured,0.180904523,1,199,2,engineer,10,0,0.216098446,2.099562962,0.18688602,1.270911856,14079.111,0.000173647,4564.027,376,18,0,4,4,3,0,direct,2
0,4,6,Other,matured,0.578571429,0.875,280,3,business,10,0,0.816780297,15.88207589,0.015693887,0.983073662,838.675,0.003456783,200.842,0,0,0,3,1,2,0,both,1
0,2,3,Other,matured,0.618556701,1,291,4,engineer,2,0,0.689519503,3.298473253,0.062765417,0.873680273,3174.003,0.030881054,238.495,4698,0,0,3,3,3,0,both,1
6,6,2,Other,matured,0.119469027,1.036697248,226,4,engineer,0,0,0.360813536,0.91484347,-0.075608578,1.110157239,30102.119,0.014078901,-3972.844,2785,4,0,3,3,3,0,both,3
0,5,8,Other,matured,0,1.037037037,112,5,naturalschience,13,1,0.285977325,1.580275761,0.013682142,0.871978824,13599.298,3.26E-07,-3451.389,891,4,0,4,3,4,0,both,2
0,7,5,Other,matured,0.305785124,1.07079646,121,2,other,0,0,0.834939911,6.026314435,0.016864667,1.105733088,3808.1,0.032954871,-394.498,3213,1,0,4,5,5,0,both,3
0,2,8,Other,matured,0,1,272,3,business,7,0,0.775316529,5.642250064,-0.010187703,1.356241847,6070.05,0.000270725,1358.515,136,0,0,4,4,4,0,both,1
5,4,2,Other,matured,0,1,101,3,business,0,0,0.866237723,13.10622388,0.067605125,1.354223432,2515.329,0.022725943,639.216,240,0,0,3,4,3,3,both,1
0,1,7,Other,matured,0.057268722,1,454,3,naturalschience,1,0,0.259403599,0.660209513,0.055935764,1.185738366,128341.18,0.003705799,4734.517,5771,2,1,3,3,3,0,direct,2
0,1,5,Other,matured,0.82173913,1,230,3,humanities,1,0,0.731235005,3.740546387,0.047615092,1.079678239,6964.374,0.025270662,506.968,369,4,0,3,4,3,0,direct,1
10,3,5,Other,matured,0.010596026,1.075498575,755,3,engineer,2,0,0.419224795,2.75063853,0.065047534,0.867364557,25843.331,0.002390215,2750.57,2178,137,0,3,3,4,0,both,3
0,3,1,Other,matured,0.073943662,1,284,3,humanities,3,0,0.404995852,2.12939018,0.167424483,1.149093724,13122.325,0.003691574,4144.523,857,4,0,4,3,3,2,direct,2
0,3,1,Other,matured,0.572463768,1.053435115,138,3,business,8,0,0.753413095,3.58110639,0.032813194,1.095536959,9390.487,0.026756129,233.666,8,4,0,2,3,3,0,indirect,1
30,3,5,Other,highgrow,0.223776224,1,143,3,engineer,3,0,0.670971594,5.630544601,0.015184036,1.01557798,9997.767,0.006474514,247.194,2144,4,0,3,3,4,0,both,3
0,2,1,Other,highgrow,0.108374384,1.041025641,203,5,business,2,0,0.442222955,0.746246935,0.06987387,1.078446465,32302.069,0.022937966,3601.874,958,4,0,3,4,4,0,direct,2
0,6,2,Other,matured,0.729508197,1,122,3,naturalschience,5,0,0.205459557,1.312139234,0.031780641,1.073300098,25900.307,0.000720234,1251.189,699,5,0,2,3,3,1,direct,2
18,8,2,Other,matured,0.2,1.038851351,615,3,engineer,5,0,0.256140771,3.18306489,0.045354925,0.958439975,19950.942,1.08E-05,2769.857,7835,4,0,4,3,3,0,direct,1
0,2,6,Other,matured,0.166666667,1,102,3,engineer,0,0,0.781357746,3.306144644,0.067269737,0.768738928,1839,0.008059211,258,1475,0,0,3,3,4,0,both,3
0,6,5,Other,matured,0.836734694,1,147,3,engineer,27,0,0.81199916,3.461755749,-0.13242867,1.114868987,10046.268,0.062558576,-11855.816,219,4,0,4,4,3,0,both,2
0,5,2,Other,highgrow,0.088235294,1,170,3,business,3,0,0.870923388,10.01274323,-0.025683023,1.139895068,2801.252,0.013477541,-1037.637,402,0,0,2,3,4,0,direct,2
0,8,7,Other,matured,0.212389381,1,113,3,engineer,6,0,0.782151799,3.413605524,0.005376377,0.987801772,6345.07,0.038442322,162.775,77,0,0,3,3,4,0,both,3
0,5,2,Other,matured,0.002555366,1.019097222,2348,4,engineer,6,0,0.776754932,15.95758768,0.006095647,1.151409652,4324.192,0.006550115,176.021,186,0,0,3,3,4,0,both,3
10,5,4,Other,founded,0.279220779,1,154,3,engineer,8,0,0.589473947,3.012673579,0.136665357,1.504015925,27615.955,0.010059213,9262.334,539,4,0,4,3,3,2,both,3
5,3,5,Other,highgrow,0.057377049,1,122,1,,20,0,0.493015576,1.272758597,0.003953118,0.605171095,8517.968,0.030742944,1721.349,665,0,0,4,4,3,0,both,2
10,7,8,manufature,highgrow,0.069767442,1.387096774,43,3,engineer,15,0,0.483714752,2.211427124,0.098886826,1.233388533,3805.822,0.006791822,979.638,333,0,0,4,4,4,1,direct,1
1,3,6,manufature,highgrow,0.138888889,1.058823529,36,1,,10,0,0.719596145,3.466993999,0.065617624,1.072754895,1833,0.005979544,588,666,8,0,3,5,4,4,direct,3
3,4,8,manufature,highgrow,0.764705882,0.971428571,34,1,,28,0,0.834510221,6.030941969,0.054729582,1.25065178,2121.035,0.023890388,163.978,2720,3,0,3,3,3,0,direct,3
0,3,6,manufature,highgrow,0.56097561,1.108108108,41,3,engineer,15,1,0.682994349,3.320874477,0.043518183,1.161615102,4124.616,0.015924926,594.966,1970,8,0,2,5,5,1,both,3
0,4,5,manufature,highgrow,0.066666667,0.625,30,3,engineer,11,2,0.82901515,1.833089048,0.089818064,1.100539884,1377.489,0.105407792,244.2,997,0,0,4,5,2,0,5,3
0.38,4,7,manufature,highgrow,0.131578947,1,38,4,business,5,2,0.611605779,2.060657507,0.029540454,0.916295991,4283.361,0.029682752,334.208,126,23,0,3,4,3,3,both,2
0,3,4,manufature,highgrow,0.068181818,1.073170732,44,3,business,20,1,0.737815795,5.217754173,0.084193689,1.644104164,1318,0.012505453,488,1349,3,0,3,4,3,0,direct,3
0,8,3,manufature,highgrow,0.789473684,1.027027027,38,1,,10,0,0.293271106,1.618272249,0.089743545,0.916665926,3568.559,0.000250394,476.554,111,5,0,3,4,3,1,direct,2
85,3,6,manufature,highgrow,0.152173913,1.12195122,46,1,,1,0,0.695222839,4.413132946,0.100313923,1.312686702,3954.071,0.01413073,1323.373,614,32,1,4,5,5,2,both,3
38,7,4,manufature,highgrow,0.631578947,1.055555556,38,1,,15,1,0.46664582,1.83397622,0.012291562,1.030733848,5002.699,0.0098707,93.041,751,21,1,2,4,4,2,direct,2
0,4,3,manufature,highgrow,0.075,1.142857143,40,3,engineer,10,0,0.729308949,3.802589668,0.06171751,1.248258325,3722.794,0.017588052,619.18,1128,1,0,3,4,5,0,direct,3
0,4,3,manufature,matured,0.789473684,0.95,38,3,humanities,3,1,0.381869937,1.201204392,0.01857859,0.765861244,2823,0.014744913,189,380,1,0,2,2,2,0,both,3
0,2,5,manufature,matured,0.76744186,1.131578947,43,4,business,0,0,0.747480551,8.415462882,0.036792855,1.51174285,2119.773,0.010775065,440.685,846,1,0,3,3,4,0,direct,3
0,1,2,manufature,matured,0.3,1.071428571,30,3,engineer,10,0,0.16330859,1.653147444,0.236455405,1.48221648,9468,0.00159724,3393,562,90,0,1,3,3,0,both,3
0,3,4,manufature,matured,0.183673469,1.139534884,49,3,humanities,3,0,0.882762109,13.23477536,-0.024907143,0.894159889,525.694,0.006665668,-225.42,521,0,0,3,3,4,0,direct,1
20,3,7,manufature,matured,0.0625,1.391304348,32,3,engineer,4,0,0.586291011,0.783608491,-0.059819413,0.799144212,3392,0.017428269,-456,80,5,0,4,3,3,1,direct,1
5,4,7,manufature,matured,0.638888889,1,36,2,engineer,20,0,0.480306484,0.703763822,0.146881636,0.69775562,6155.791,0.058311864,288.903,554,20,0,1,5,4,10,both,2
0,3,7,manufature,matured,0.065217391,0.851851852,46,1,,2,0,0.596825947,3.115508712,0.058202154,1.429671306,4649,0.010839547,716,140,6,0,2,4,4,0,both,1
25,4,8,manufature,matured,0.47826087,1.022222222,46,1,,18,0,1.154524341,-10.43259053,0.036733063,0.833372071,-1179.189,0.009585924,265.805,162,2,0,2,3,3,1,direct,2
0,3,7,manufature,matured,0.5625,1,32,1,,2,1,0.631344446,0.684180548,-0.064666885,0.758394651,5707.644,0.082096583,-585.104,220,0,0,5,4,3,0,direct,3
0,3,8,manufature,matured,0.130434783,1.179487179,46,1,,15,0,0.663032626,3.185395919,0.041544167,1.082841603,4842.701,0.015151446,404.023,2051,27,0,3,4,3,0,both,3
